Recommendation reliability,BeMF,PMF,BiasedMF,NMF,BNMF,URP,SVD++
0,0.92296383611,0.90182382319,0.90177663754,0.90530731072,0.92303683261,0.90677946779,0.90046857865
0.1,0.92295642887,0.90182382319,0.90177663754,0.90530731072,0.92303683261,0.90730573957,0.90046857865
0.2,0.92309763871,0.90182382319,0.90177663754,0.90530731072,0.92303683261,0.90736286029,0.90046857865
0.3,0.92351912739,0.90182382319,0.90177663754,0.90530731072,0.92303683261,0.90737759893,0.90046857865
0.4,0.92492029451,0.90182382319,0.90177663754,0.90530731072,0.92305015737,0.90740359855,0.90046857865
0.5,0.92713983589,0.90182382319,0.90177663754,0.90530731072,0.92343181954,0.90741446622,0.90046857865
0.6,0.93069211141,0.90182382319,0.90177663754,0.90530731072,0.92506737685,0.90742750743,0.90046857865
0.7,0.93785542917,0.90182382319,0.90177663754,0.90530731072,0.93603627316,0.90742750743,0.90046857865
0.8,0.94740460191,0.90182382319,0.90177663754,0.90530731072,0.96236802315,0.90742270495,0.90046857865
0.9,0.96307296534,0.90182382319,0.90177663754,0.90530731072,0.98863096198,0.90755839759,0.90046857865
