Number of neighbors,UserKNN,ItemKNN
50,0.8368610311,0.7398529894
100,0.80721032209,0.7381168815
150,0.79804198336,0.73970236512
200,0.7904920477,0.74315399375
250,0.78708396168,0.74483501513
300,0.7848764936,0.75028918497
350,0.78330211517,0.75497713727
400,0.78456823755,0.75808035035
450,0.78345482781,0.76109755867
500,0.78337970838,0.76491713824
550,0.7831683176,0.76640298049
600,0.78365698459,0.76786194623
650,0.78296548862,0.77065739944
700,0.78312763187,0.77237573282
750,0.7834793511,0.77383770705
800,0.78354704389,0.77564402356
850,0.78301391218,0.77732134826
900,0.78360721841,0.77869493052
